종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"433500","ACE 원자력테마딥서치","31485","75","0.24","31596.82","31500","31740","31105","89126","2791862991","66118500000","0","2100000","DeepSearch 원자력테마 지수 (시장가격지수)","3155.74","14.78","0.47"
"256440","ACE 인도네시아MSCI(합성)","8560","50","0.59","8584.63","8595","8595","8515","45042","385966333","29960000000","0","3500000","MSCI Indonesia Index","6182.31","-40.52","-0.65"
"487920","ACE 인도시장대표BIG5그룹액티브","8700","-10","-0.11","8707.85","8705","8725","8660","3547","30807097","11310000000","0","1300000","Indxx India Big 5 Conglomerates Index (Price Return)","4450.99","-7.62","-0.17"
"487910","ACE 인도컨슈머파워액티브","9465","-25","-0.26","9473.00","9465","9520","9400","9626","90895105","53477250000","0","5650000","Indxx India Super Consumption Index (Price Return)","3354.80","-21.42","-0.63"
"145670","ACE 인버스","4365","0","0.00","4364.10","4375","4385","4345","5020","21881205","2182500000","0","500000","코스피 200 선물지수","2132.39","-1.23","-0.06"
"497520","ACE 일라이릴리밸류체인","10000","-5","-0.05","10006.29","10005","10005","9915","2102","20885635","8000000000","0","800000","Solactive Eli Lilly Value Chain Index(PR)","2647.69","-18.79","-0.70"
"238720","ACE 일본Nikkei225(H)","28395","-200","-0.70","28471.71","28600","28715","28375","934","26613170","25555500000","0","900000","Nikkei 225","39819.11","-82.08","-0.21"
"196030","ACE 일본TOPIX레버리지(H)","44300","10","0.02","44206.00","44465","44610","44295","99","4400695","22150000000","0","500000","TOPIX","2834.48","-5.33","-0.19"
"205720","ACE 일본TOPIX인버스(합성 H)","2270","0","0.00","2275.23","2270","2270","2260","22624","51226670","5902000000","0","2600000","TOPIX","2834.48","-5.33","-0.19"
"469160","ACE 일본반도체","11895","-120","-1.00","11928.59","11980","11980","11845","1181264","14052117284","15463500000","0","1300000","Bloomberg Japan Semiconductor Select Top 25 Index(Price Return)","3276.05","-29.22","-0.88"
"0021C0","ACE 장기자산배분액티브","10685","30","0.28","10714.64","10665","10750","10665","353","3789495","10685000000","0","1000000","Bloomberg Multi Asset Target-date 2080 KRW Index","3463.43","20.18","0.59"
"356540","ACE 종합채권(AA-이상)KIS액티브","108550","15","0.01","108517.50","108445","108595","108445","560","60764480","872090700000","0","8034000","KIS 종합채권 AA-이상 총수익 지수(Total return Index)","121.24","0.17","0.14"
"447430","ACE 주주환원가치주액티브","16330","-90","-0.55","16275.38","16580","16580","16180","74973","1219366768","64503500000","0","3950000","FnGuide 올라운드 가치주 지수","1026.24","-9.18","-0.89"
"416090","ACE 중국과창판STAR50","7520","70","0.94","7635.79","7450","7660","7400","1862","13955755","6768000000","0","900000","STAR 50 Index(Price Return)","1007.53","1.88","0.19"
